"","Y","Y2","FEM","AGE","EDU"
"960",600,601,0,63,9
"961",62.5,63.5,1,46,12
"962",62.5,63.5,1,59,9
"963",1200,1201,0,52,16
"964",375,376,0,61,12
"965",25,26,1,42,14
"966",325,326,0,55,12
"967",0,1,1,31,16
"968",425,426,0,61,12
"969",375,376,0,47,12
"970",175,176,1,40,16
"971",225,226,0,64,9
"972",275,276,0,21,12
"973",375,376,0,29,12
"974",325,326,0,39,12
"975",375,376,1,43,14
"976",425,426,1,63,12
"977",87.5,88.5,0,61,9
"978",700,701,0,50,16
"979",500,501,0,41,12
"980",325,326,0,29,12
"981",175,176,1,22,12
"982",87.5,88.5,1,49,12
"983",112.5,113.5,1,40,12
"984",800,801,0,59,16
"985",87.5,88.5,1,43,12
"986",425,426,0,44,9
"987",175,176,1,26,9
"988",0,1,1,39,12
"989",0,1,1,45,12
"990",800,801,1,52,14
"991",700,701,0,34,18
